row_id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
130000,New Zealand,This Pinot Noir shows ripe aromas of oak and a light-bodied palate from Adelaide Hills.,Gran Selección,94,77,Marlborough,Adelaide Hills,Clasico,Alex Smith,@alexsmith,Highland Estate Gran Selección Pinot Noir,Pinot Noir,Highland Estate
130001,Spain,"From Rioja, this Malbec offers concentrated vanilla flavors with a long, medium-bodied structure.",Winemaker's Blend,85,34,Rioja,,Reserva,Chris Martin,@chrismartin,Riverbend Wines Winemaker's Blend Malbec,Malbec,Riverbend Wines
130002,France,A medium-bodied Sangiovese from Sonoma with subtle mineral notes and a long finish.,,98,37,Bordeaux,Sonoma,Gran Reserva,Alex Smith,@alexsmith,Vista Hills Winery Sangiovese,Sangiovese,Vista Hills Winery
130003,Portugal,A medium-bodied Malbec from Sonoma with subtle stone fruit notes and a smooth finish.,,93,90,Douro,Sonoma,Gran Reserva,Taylor Clark,@taylorclark,Silver Creek Estate Malbec,Malbec,Silver Creek Estate
130004,Chile,A full-bodied Sauvignon Blanc from Priorat with elegant citrus notes and a long finish.,Old Vine,84,75,Maipo Valley,Priorat,,Casey Lopez,@caseylopez,Sunset Ridge Winery Old Vine Sauvignon Blanc,Sauvignon Blanc,Sunset Ridge Winery
130005,Italy,"From Medoc, this Riesling offers elegant citrus flavors with a crisp, medium-bodied structure.",Barrel Select,96,82,Tuscany,Medoc,Clasico,Alex Brown,@alexbrown,Redstone Winery Barrel Select Riesling,Riesling,Redstone Winery
130006,Argentina,A full-bodied Syrah from Willamette Valley with concentrated cherry notes and a lingering finish.,Single Vineyard,96,12,Mendoza,Willamette Valley,,Morgan Brown,@morganbrown,Vista Hills Winery Single Vineyard Syrah,Syrah,Vista Hills Winery
130007,USA,A full-bodied Sauvignon Blanc from Napa Valley with elegant cherry notes and a lingering finish.,Single Vineyard,86,103,California,Napa Valley,,Alex Smith,@alexsmith,Redstone Winery Single Vineyard Sauvignon Blanc,Sauvignon Blanc,Redstone Winery
130008,Spain,This Sauvignon Blanc shows elegant aromas of stone fruit and a light-bodied palate from Uco Valley.,,92,111,Rioja,Uco Valley,Estate,Jordan Clark,@jordanclark,Golden Oak Cellars Sauvignon Blanc,Sauvignon Blanc,Golden Oak Cellars
130009,France,This Zinfandel shows concentrated aromas of mineral and a medium-bodied palate from Douro Superior.,Estate Bottled,87,114,Burgundy,Douro Superior,Reserva,Chris Lopez,@chrislopez,Sunset Ridge Winery Estate Bottled Zinfandel,Zinfandel,Sunset Ridge Winery
130010,Spain,"From Priorat, this Tempranillo offers elegant stone fruit flavors with a lingering, full-bodied structure.",Gran Selección,89,24,Rioja,Priorat,,Jordan Lewis,@jordanlewis,Highland Estate Gran Selección Tempranillo,Tempranillo,Highland Estate
130011,Italy,A medium-bodied Riesling from Uco Valley with subtle citrus notes and a crisp finish.,Winemaker's Blend,88,11,Tuscany,Uco Valley,,Riley Martin,@rileymartin,Highland Estate Winemaker's Blend Riesling,Riesling,Highland Estate
130012,Australia,"From Douro Superior, this Pinot Noir offers subtle blackberry flavors with a crisp, medium-bodied structure.",Estate Bottled,98,97,Barossa Valley,Douro Superior,,Sam Garcia,@samgarcia,Oak & Ivy Estate Bottled Pinot Noir,Pinot Noir,Oak & Ivy
130013,USA,A light-bodied Tempranillo from Sonoma with elegant vanilla notes and a smooth finish.,Reserve,85,78,California,Sonoma,,Jordan Martin,@jordanmartin,Vista Hills Winery Reserve Tempranillo,Tempranillo,Vista Hills Winery
130014,Spain,This Riesling shows concentrated aromas of stone fruit and a medium-bodied palate from Douro Superior.,Barrel Select,98,74,Rioja,Douro Superior,Clasico,Jamie Smith,@jamiesmith,Golden Oak Cellars Barrel Select Riesling,Riesling,Golden Oak Cellars
130015,Australia,This Syrah shows bright aromas of vanilla and a medium-bodied palate from Sonoma.,Barrel Select,88,72,Barossa Valley,Sonoma,,Jamie Johnson,@jamiejohnson,Redstone Winery Barrel Select Syrah,Syrah,Redstone Winery
130016,New Zealand,This Zinfandel shows bright aromas of herbal and a full-bodied palate from Priorat.,,87,93,Marlborough,Priorat,Gran Reserva,Sam Brown,@sambrown,Oak & Ivy Zinfandel,Zinfandel,Oak & Ivy
130017,USA,"From Priorat, this Malbec offers bright herbal flavors with a crisp, medium-bodied structure.",Reserve,96,61,California,Priorat,Gran Reserva,Chris Wilson,@chriswilson,Clements Cellars Reserve Malbec,Malbec,Clements Cellars
130018,Italy,This Tempranillo shows concentrated aromas of spice and a medium-bodied palate from Chianti.,Single Vineyard,92,77,Tuscany,Chianti,Clasico,Taylor Brown,@taylorbrown,Golden Oak Cellars Single Vineyard Tempranillo,Tempranillo,Golden Oak Cellars
130019,France,This Chardonnay shows robust aromas of vanilla and a full-bodied palate from Medoc.,,97,73,Bordeaux,Medoc,,Taylor Garcia,@taylorgarcia,Rockstar Vineyards Chardonnay,Chardonnay,Rockstar Vineyards
130020,Argentina,This Sauvignon Blanc shows subtle aromas of citrus and a light-bodied palate from Priorat.,Barrel Select,90,25,Mendoza,Priorat,Estate,Morgan Smith,@morgansmith,Golden Oak Cellars Barrel Select Sauvignon Blanc,Sauvignon Blanc,Golden Oak Cellars
